idu,id_adr,type_lien,nb_adr,nb_parc
75105000AR0085,75105_3751_00007,GEO,2,1
75106000BC0052,75106_8653_00008,GEO,2,1
75107000AE0029,75107_8631_00019,GEO,2,1
75105000AR0088,75105_3751_00005,GEO,1,1
75106000BC0058,75106_8955_00119,GEO,3,1
75105000BL0023,75105_6448_00042,GEO,4,1
75107000AF0039,75107_8955_00014,GEO,2,1
75106000AG0030,75106_7940_00002,GEO,2,1
75106000BC0058,75106_8653_00002,GEO,3,1
75105000BL0095,75105_8596_00012,GEO,6,1
75105000AR0089,75105_3751_00001,GEO,4,1
75105000AR0069,75105_4108_00010,GEO,3,1
75107000AD0043,75107_7792_00020,GEO,2,1
75105000AT0026,75105_2580_00001,GEO,7,1
75105000BI0082,75105_3377_00027,GEO,3,1
75105000AT0026,75105_2580_00003,GEO,7,1
75105000BI0054,75105_3749_00012,GEO,1,1
75106000AG0034,75106_6871_00003,GEO,1,1
75105000BL0022,75105_1053_00011,GEO,2,1
75107000AD0073,75107_7294_00009,GEO,2,1
75105000BL0023,75105_6448_00038,GEO,4,1
75105000AT0026,75105_1642_00006,GEO,7,1
75105000BK0035,75105_3749_00019,GEO,2,1
75105000BJ0040,75105_3749_00007,GEO,2,1
75105000AR0085,75105_3751_00009,GEO,2,1
75106000AG0039,75106_6871_00015,GEO,1,1
75105000BL0010,75105_1053_00007,GEO,3,1
75105000AR0105,,,,
75107000BI0013,75107_4015_00026,GEO,1,1
75107000AU0011,75107_8529_00046,GEO,1,1
75107000AM0032,75107_8619_00215,GEO,3,1
75107000CD0008,75107_8529_00145,GEO,1,1
75107000CF0020,75107_9114_00053,GEO,2,1
75107000BR0024,75107_9393_00009,GEO,10,1
75107000CD0066,75107_8904_00003,GEO,7,1
75107000CD0125,75107_8529_00117,GEO,1,1
75107000CD0126,75107_8529_00115,GEO,1,1
75107000CD0001,75107_4042_00003,GEO,3,1
75107000BR0024,75107_5827_00001,GEO,10,1
75107000AM0036,75107_8762_00003,GEO,3,1
