Geo Shape;DEP;INSEE_COM;NOM_COM;IRIS;CODE_IRIS;NOM_IRIS;TYP_IRIS;Geo Point;ID
"{""coordinates"": [[[2.414701692063775, 48.85870400053104], [2.414777613619788, 48.858254699802664], [2.414633672540043, 48.858207229875724], [2.414471033849807, 48.8582469046859], [2.414432070595024, 48.85783301557768], [2.413765308573701, 48.85785763068367], [2.413469988661504, 48.85781841108334], [2.411481843788328, 48.857179108215455], [2.411569599793694, 48.858701231157994], [2.411203190393366, 48.860731045579165], [2.409352137182538, 48.86061580148735], [2.409336114962119, 48.86070655602768], [2.40873391082897, 48.86392682209372], [2.408742229271848, 48.86451503150666], [2.409007739196652, 48.86454152441294], [2.410957601593311, 48.8649720278358], [2.411378545279628, 48.864995682997176], [2.411846232183755, 48.8651050035979], [2.413883736160339, 48.86526159131493], [2.413977335687163, 48.865181109176135], [2.414117481122137, 48.86350722538999], [2.414370428780846, 48.860649457756914], [2.414701692063775, 48.85870400053104]]], ""type"": ""Polygon""}";75;75120;Paris 20e Arrondissement;8021;751208021;Charonne 21;H;48.86174479229099, 2.412033533437471;IRIS____0000000751208021
"{""coordinates"": [[[2.351510758459, 48.86442725524994], [2.35425267163513, 48.869323712694474], [2.355742901188442, 48.86897830241318], [2.355532868031176, 48.86887554617943], [2.355022569051761, 48.86792039496533], [2.354886413632751, 48.86768673164428], [2.355122569099152, 48.867661024017266], [2.356808071278973, 48.86728427589825], [2.355639992875577, 48.86550538817116], [2.355740164501207, 48.86545196682287], [2.355157799621591, 48.86426439420452], [2.353317310341061, 48.8648345406996], [2.351510758459, 48.86442725524994]]], ""type"": ""Polygon""}";75;75103;Paris 3e Arrondissement;0905;751030905;Arts et Métiers 5;H;48.866488745898444, 2.354283651503861;IRIS____0000000751030905
"{""coordinates"": [[[2.389233868012838, 48.838985195708524], [2.388813186253551, 48.839538852631016], [2.387276443655293, 48.84126585848587], [2.387258529583018, 48.841398872054505], [2.387363161953784, 48.841538808782595], [2.388866655704539, 48.84113729026], [2.394935902460187, 48.83979661801987], [2.394864180615933, 48.83963706833157], [2.394935270847784, 48.839498926335665], [2.394598158635749, 48.8394315673212], [2.389233868012838, 48.838985195708524]]], ""type"": ""Polygon""}";75;75112;Paris 12e Arrondissement;4612;751124612;Picpus 12;H;48.840040084471774, 2.3906807870850755;IRIS____0000000751124612
"{""coordinates"": [[[2.325209198349687, 48.83189407547592], [2.324961138116501, 48.832534828304276], [2.324876785146561, 48.83273671113781], [2.32517026605283, 48.83269159997589], [2.325811529445446, 48.83356401033445], [2.3281144333373, 48.83288625108238], [2.328197604262222, 48.83298654862237], [2.3306706578561, 48.832208965959495], [2.329791274923713, 48.83120393828178], [2.329426131735775, 48.830784582036536], [2.325209198349687, 48.83189407547592]]], ""type"": ""Polygon""}";75;75114;Paris 14e Arrondissement;5514;751145514;Petit Montrouge 14;H;48.8321613494011, 2.32768262151954;IRIS____0000000751145514
"{""coordinates"": [[[2.300911619863719, 48.851176381130784], [2.301227956943836, 48.85106221151431], [2.303659545504421, 48.849505204207276], [2.302321094421135, 48.84860613896449], [2.302446212633794, 48.8485232277989], [2.301840034398582, 48.84809879026362], [2.301781441113648, 48.84799682031393], [2.301573793863481, 48.84793355226076], [2.297917369232447, 48.8490660339977], [2.298549053881686, 48.849517621565], [2.300911619863719, 48.851176381130784]]], ""type"": ""Polygon""}";75;75115;Paris 15e Arrondissement;5913;751155913;Grenelle 13;H;48.84946421871148, 2.300925179505354;IRIS____0000000751155913
"{""coordinates"": [[[2.269361263966532, 48.85468875294475], [2.270200744147877, 48.855568953749156], [2.275517458140636, 48.85419826050449], [2.27741728572838, 48.85370880447998], [2.275939805638895, 48.85273755621539], [2.275836889188411, 48.85288622744059], [2.27581647363968, 48.85298233558035], [2.27323094104762, 48.85358362110283], [2.271595318582871, 48.853889351151444], [2.2709009406797, 48.85413244643644], [2.270213800857073, 48.85444213454433], [2.269361263966532, 48.85468875294475]]], ""type"": ""Polygon""}";75;75116;Paris 16e Arrondissement;6202;751166202;Muette 2;H;48.85418332204513, 2.2732572740001613;IRIS____0000000751166202
"{""coordinates"": [[[2.278981615819666, 48.87106047848948], [2.282806455738843, 48.870215587783456], [2.281065681888142, 48.867833563655324], [2.280992495285019, 48.86780254615224], [2.280123504224159, 48.86656431424454], [2.277880920586398, 48.867359320394726], [2.277012952217638, 48.86762478473107], [2.278981615819666, 48.87106047848948]]], ""type"": ""Polygon""}";75;75116;Paris 16e Arrondissement;6307;751166307;Porte Dauphine 7;H;48.86890789636209, 2.2797912449160327;IRIS____0000000751166307
"{""coordinates"": [[[2.385691787589019, 48.87409919422547], [2.385385602057697, 48.873934843071225], [2.384756813831292, 48.87395769362035], [2.384281578163126, 48.87402359949553], [2.38366834046294, 48.8742299884653], [2.38317143735823, 48.87451341717247], [2.381878469681223, 48.87558684715348], [2.381388690955328, 48.876186870130546], [2.381241970243945, 48.87648648889035], [2.381151468634745, 48.8769887477449], [2.381170436147411, 48.8773431825269], [2.381261727985528, 48.87769259503413], [2.382594229711585, 48.877085231273206], [2.382989951048308, 48.876943378451365], [2.38387820939328, 48.87677348301237], [2.38358251122729, 48.876067783649034], [2.383561387447425, 48.87577898910847], [2.38392454264863, 48.87539234683916], [2.385691787589019, 48.87409919422547]]], ""type"": ""Polygon""}";75;75119;Paris 19e Arrondissement;7603;751197603;Combat 3;H;48.875723181179026, 2.3830245844962636;IRIS____0000000751197603
"{""coordinates"": [[[2.379834493735429, 48.87285578910707], [2.383028408513118, 48.87346675436694], [2.383085559974287, 48.87347604226992], [2.384934452232139, 48.871961183691404], [2.385707538321824, 48.87149210299872], [2.38603216816495, 48.87147847985435], [2.386045741031186, 48.871367931138856], [2.386724253848522, 48.87070859859575], [2.386784949520759, 48.87041662513852], [2.38449291690774, 48.8702151006776], [2.384303719084926, 48.87018984551114], [2.384015313629876, 48.87059935867905], [2.383379271691892, 48.87100798000692], [2.382921653937748, 48.87143010852825], [2.382126461291367, 48.87100241890219], [2.381482619112556, 48.870918153346594], [2.381067173701594, 48.87157611895271], [2.379834493735429, 48.87285578910707]]], ""type"": ""Polygon""}";75;75120;Paris 20e Arrondissement;7710;751207710;Belleville 10;H;48.8718215945642, 2.383264914872539;IRIS____0000000751207710
"{""coordinates"": [[[2.333660618265889, 48.8675065901699], [2.330284399564853, 48.86831784067884], [2.327999372502886, 48.869921153098], [2.329973073724776, 48.87026497450746], [2.332522410349862, 48.87069201592216], [2.332659457141542, 48.87031685523609], [2.332460764805721, 48.870289666374674], [2.333660618265889, 48.8675065901699]]], ""type"": ""Polygon""}";75;75102;Paris 2e Arrondissement;0502;751020502;Gaillon 2;A;48.869221174540336, 2.331198556312046;IRIS____0000000751020502
"{""coordinates"": [[[2.319436336965455, 48.87453136064785], [2.312293022004734, 48.87332498932566], [2.311534305425408, 48.8730670136299], [2.310530397593467, 48.873926401889655], [2.309649491120863, 48.874555360142814], [2.309198637543141, 48.875036604377065], [2.315791681613924, 48.87527862018343], [2.316351883419489, 48.87539513759043], [2.318350963280148, 48.87558100946869], [2.31876091431978, 48.875614820014746], [2.319009710987573, 48.875564973308556], [2.319403583787788, 48.875264136075096], [2.319330351973698, 48.87481674804142], [2.319397283493619, 48.87480723587464], [2.319436336965455, 48.87453136064785]]], ""type"": ""Polygon""}";75;75108;Paris 8e Arrondissement;3209;751083209;Europe 9;A;48.874522678617694, 2.314317362229709;IRIS____0000000751083209
